exp_name,seed,corpus,tag,git_commit,run_path,final_avg_loss,total_communication_mb,backs
exp_reverse_adaptive_threshold_ablation,42,MPS,stage2_threshold_0.01,1e518c63010a4ba67eebd1f4c34e7bcddc530c3d,results/raw/exp_reverse_adaptive_threshold_ablation/reverse_adaptive/seed_42/stage2_threshold_0.01/20260503_205006,1.273557108,1533.125,Table6_Fig4_threshold_ablation_MPS
exp_reverse_adaptive_threshold_ablation,42,MPS,stage2_threshold_0.02,1e518c63010a4ba67eebd1f4c34e7bcddc530c3d,results/raw/exp_reverse_adaptive_threshold_ablation/reverse_adaptive/seed_42/stage2_threshold_0.02/20260503_235201,1.273557108,1533.125,Table6_Fig4_threshold_ablation_MPS
exp_reverse_adaptive_threshold_ablation,42,MPS,stage2_threshold_0.05,1e518c63010a4ba67eebd1f4c34e7bcddc530c3d,results/raw/exp_reverse_adaptive_threshold_ablation/reverse_adaptive/seed_42/stage2_threshold_0.05/20260504_025529,1.273557108,1533.125,Table6_Fig4_threshold_ablation_MPS
exp_reverse_adaptive_threshold_ablation,42,MPS,stage2_threshold_extended_0.001,1e518c63010a4ba67eebd1f4c34e7bcddc530c3d,results/raw/exp_reverse_adaptive_threshold_ablation/reverse_adaptive/seed_42/stage2_threshold_extended_0.001/20260504_060836,1.2638204754,2083.125,Table6_Fig4_threshold_ablation_MPS
exp_reverse_adaptive_threshold_ablation,42,MPS,stage2_threshold_extended_0.002,1e518c63010a4ba67eebd1f4c34e7bcddc530c3d,results/raw/exp_reverse_adaptive_threshold_ablation/reverse_adaptive/seed_42/stage2_threshold_extended_0.002/20260504_091425,1.2674626991,1863.125,Table6_Fig4_threshold_ablation_MPS
exp_reverse_adaptive_threshold_ablation,42,MPS,stage2_threshold_extended_0.05,1e518c63010a4ba67eebd1f4c34e7bcddc530c3d,results/raw/exp_reverse_adaptive_threshold_ablation/reverse_adaptive/seed_42/stage2_threshold_extended_0.05/20260504_121930,1.273557108,1533.125,Table6_Fig4_threshold_ablation_MPS
exp_reverse_adaptive_threshold_ablation,42,MPS,stage2_threshold_extended_0.10,1e518c63010a4ba67eebd1f4c34e7bcddc530c3d,results/raw/exp_reverse_adaptive_threshold_ablation/reverse_adaptive/seed_42/stage2_threshold_extended_0.10/20260504_152013,1.273557108,1533.125,Table6_Fig4_threshold_ablation_MPS
exp_reverse_adaptive_threshold_ablation,42,MPS,stage2_threshold_extended_0.20,1e518c63010a4ba67eebd1f4c34e7bcddc530c3d,results/raw/exp_reverse_adaptive_threshold_ablation/reverse_adaptive/seed_42/stage2_threshold_extended_0.20/20260504_182053,1.273557108,1533.125,Table6_Fig4_threshold_ablation_MPS
exp_llama3_flora_iid,123,MPS,stage5_llama3_extra_seeds,e67fa6b0eaa9e0d703d7a46e467d675f3d18dbc8,results/raw/exp_llama3_flora_iid/flora/seed_123/stage5_llama3_extra_seeds/20260513_205442,1.3734024053,2625,Table7_TableS3_Fig5_scale_validation_MPS;Table5_FigS1_llama_downstream_MPS
exp_llama3_flora_iid,42,MPS,stage5_llama3_full,d6f903880a51aa586366290ef882003a178f796c,results/raw/exp_llama3_flora_iid/flora/seed_42/stage5_llama3_full/20260506_172045,1.3716830858,2625,Table7_TableS3_Fig5_scale_validation_MPS;Table5_FigS1_llama_downstream_MPS
exp_llama3_flora_iid,456,MPS,stage5_llama3_extra_seeds,6de806bb0cf0faaaa520c7145b24a94d0c680dc2,results/raw/exp_llama3_flora_iid/flora/seed_456/stage5_llama3_extra_seeds/20260514_193332,1.3719981604,2625,Table7_TableS3_Fig5_scale_validation_MPS;Table5_FigS1_llama_downstream_MPS
exp_llama3_reverse_adaptive_iid,123,MPS,stage5_llama3_extra_seeds,e67fa6b0eaa9e0d703d7a46e467d675f3d18dbc8,results/raw/exp_llama3_reverse_adaptive_iid/reverse_adaptive/seed_123/stage5_llama3_extra_seeds/20260514_115918,1.3902651988,1942.5,Table7_TableS3_Fig5_scale_validation_MPS;Table5_FigS1_llama_downstream_MPS
exp_llama3_reverse_adaptive_iid,42,MPS,stage5_llama3_full,d6f903880a51aa586366290ef882003a178f796c,results/raw/exp_llama3_reverse_adaptive_iid/reverse_adaptive/seed_42/stage5_llama3_full/20260507_082356,1.3938311263,1837.5,Table7_TableS3_Fig5_scale_validation_MPS;Table5_FigS1_llama_downstream_MPS
exp_llama3_reverse_adaptive_iid,456,MPS,stage5_llama3_extra_seeds,6de806bb0cf0faaaa520c7145b24a94d0c680dc2,results/raw/exp_llama3_reverse_adaptive_iid/reverse_adaptive/seed_456/stage5_llama3_extra_seeds/20260515_104256,1.3973662388,1732.5,Table7_TableS3_Fig5_scale_validation_MPS;Table5_FigS1_llama_downstream_MPS
exp_llama3_two_phase_k8_iid,123,MPS,stage5_llama3_extra_seeds,e67fa6b0eaa9e0d703d7a46e467d675f3d18dbc8,results/raw/exp_llama3_two_phase_k8_iid/two_phase/seed_123/stage5_llama3_extra_seeds/20260514_043315,1.3948771263,1942.5,Table7_TableS3_Fig5_scale_validation_MPS;Table5_FigS1_llama_downstream_MPS
exp_llama3_two_phase_k8_iid,42,MPS,stage5_llama3_full,d6f903880a51aa586366290ef882003a178f796c,results/raw/exp_llama3_two_phase_k8_iid/two_phase/seed_42/stage5_llama3_full/20260507_005718,1.3937758104,1942.5,Table7_TableS3_Fig5_scale_validation_MPS;Table5_FigS1_llama_downstream_MPS
exp_llama3_two_phase_k8_iid,456,MPS,stage5_llama3_extra_seeds,6de806bb0cf0faaaa520c7145b24a94d0c680dc2,results/raw/exp_llama3_two_phase_k8_iid/two_phase/seed_456/stage5_llama3_extra_seeds/20260515_031432,1.3927721588,1942.5,Table7_TableS3_Fig5_scale_validation_MPS;Table5_FigS1_llama_downstream_MPS
exp_flora_iid,42,MPS,stage3_checkpoint,c32967b2ca93a52642ad0e394a9946eb94c40165,results/raw/exp_flora_iid/flora/seed_42/stage3_checkpoint/20260506_065929,1.2613511127,2578.125,Table4_FigS1_tiny_downstream_MPS
exp_reverse_adaptive_iid,42,MPS,stage3_checkpoint,48ae0bbde5bf3b9cc4931bb289fdab913563482a,results/raw/exp_reverse_adaptive_iid/reverse_adaptive/seed_42/stage3_checkpoint/20260506_130343,1.2754731659,1533.125,Table4_FigS1_tiny_downstream_MPS
exp_two_phase_k8,42,MPS,stage3_checkpoint,7c0e26a6d788d4ae6a2c75fdc1f6a0c2c9e05bec,results/raw/exp_two_phase_k8/two_phase/seed_42/stage3_checkpoint/20260505_080902,1.2692277238,1863.125,Table4_FigS1_tiny_downstream_MPS
exp_dolly_flora_iid,123,CUDA,neuro_part12_qvonly,cae4c328930088f607c817e0df81711b5c775a86,results/raw/exp_dolly_flora_iid/flora/seed_123/run_02_of_24/neuro_part12_qvonly/20260726_235500,1.652933814,2578.125,Table2_Table3_TableS1_TableS4_CUDA_qv_only
exp_dolly_flora_iid,42,CUDA,neuro_part12_qvonly,cae4c328930088f607c817e0df81711b5c775a86,results/raw/exp_dolly_flora_iid/flora/seed_42/run_01_of_24/neuro_part12_qvonly/20260726_232345,1.6567621928,2578.125,Table2_Table3_TableS1_TableS4_CUDA_qv_only
exp_dolly_flora_iid,456,CUDA,neuro_part12_qvonly,cae4c328930088f607c817e0df81711b5c775a86,results/raw/exp_dolly_flora_iid/flora/seed_456/run_03_of_24/neuro_part12_qvonly/20260727_002631,1.6534258424,2578.125,Table2_Table3_TableS1_TableS4_CUDA_qv_only
exp_dolly_reverse_adaptive_iid,123,CUDA,neuro_part12_qvonly,cae4c328930088f607c817e0df81711b5c775a86,results/raw/exp_dolly_reverse_adaptive_iid/reverse_adaptive/seed_123/run_08_of_24/neuro_part12_qvonly/20260727_025712,1.6669947378,1533.125,Table2_Table3_TableS1_TableS4_CUDA_qv_only
exp_dolly_reverse_adaptive_iid,42,CUDA,neuro_part12_qvonly,cae4c328930088f607c817e0df81711b5c775a86,results/raw/exp_dolly_reverse_adaptive_iid/reverse_adaptive/seed_42/run_07_of_24/neuro_part12_qvonly/20260727_022830,1.67103906,1533.125,Table2_Table3_TableS1_TableS4_CUDA_qv_only
exp_dolly_reverse_adaptive_iid,456,CUDA,neuro_part12_qvonly,cae4c328930088f607c817e0df81711b5c775a86,results/raw/exp_dolly_reverse_adaptive_iid/reverse_adaptive/seed_456/run_09_of_24/neuro_part12_qvonly/20260727_032532,1.6676989792,1533.125,Table2_Table3_TableS1_TableS4_CUDA_qv_only
exp_dolly_reverse_adaptive_noniid_alpha05,123,CUDA,neuro_part12_qvonly,cae4c328930088f607c817e0df81711b5c775a86,results/raw/exp_dolly_reverse_adaptive_noniid_alpha05/reverse_adaptive/seed_123/run_11_of_24/neuro_part12_qvonly/20260727_042229,1.668828575,1533.125,Table2_Table3_TableS1_TableS4_CUDA_qv_only
exp_dolly_reverse_adaptive_noniid_alpha05,42,CUDA,neuro_part12_qvonly,cae4c328930088f607c817e0df81711b5c775a86,results/raw/exp_dolly_reverse_adaptive_noniid_alpha05/reverse_adaptive/seed_42/run_10_of_24/neuro_part12_qvonly/20260727_035407,1.6438984675,1533.125,Table2_Table3_TableS1_TableS4_CUDA_qv_only
exp_dolly_reverse_adaptive_noniid_alpha05,456,CUDA,neuro_part12_qvonly,cae4c328930088f607c817e0df81711b5c775a86,results/raw/exp_dolly_reverse_adaptive_noniid_alpha05/reverse_adaptive/seed_456/run_12_of_24/neuro_part12_qvonly/20260727_045209,1.6591182566,1533.125,Table2_Table3_TableS1_TableS4_CUDA_qv_only
