exp_name,method,setting,scale,seed,tag,timestamp,final_loss,total_mb,upload_mb,download_mb,switch_round,mmlu_acc,arc_easy_acc,boolq_acc,hellaswag_acc
exp_two_phase_k10,two_phase,iid,tinyllama_1b,456,stage1_bidirectional,20260502_063204,1.266975752433141,2083.125,1069.0625,1014.0625,,,,,
exp_two_phase_k10_noniid_alpha05,two_phase,noniid_alpha05,tinyllama_1b,123,run_14_of_18,20260429_131841,1.2775273616553044,2578.125,1289.0625,1289.0625,,,,,
exp_two_phase_k10_noniid_alpha05,two_phase,noniid_alpha05,tinyllama_1b,42,run_13_of_18,20260429_101213,1.2804792116140917,2578.125,1289.0625,1289.0625,,,,,
exp_two_phase_k10_noniid_alpha05,two_phase,noniid_alpha05,tinyllama_1b,456,run_15_of_18,20260429_162401,1.2456964909583668,2578.125,1289.0625,1289.0625,,,,,
exp_two_phase_k8,two_phase,iid,tinyllama_1b,123,,20260430_115211,1.2708520148595173,2248.125,959.0625,1289.0625,,,,,
exp_two_phase_k8,two_phase,iid,tinyllama_1b,123,run_02_of_18,20260428_000450,1.2708520148595173,2578.125,1289.0625,1289.0625,,,,,
exp_two_phase_k8,two_phase,iid,tinyllama_1b,123,stage1_bidirectional,20260501_180732,1.2708520148595173,1863.125,959.0625,904.0625,,,,,
exp_two_phase_k8,two_phase,iid,tinyllama_1b,42,,20260430_084647,1.269227723836899,2248.125,959.0625,1289.0625,,0.256,0.248,0.56,0.42
exp_two_phase_k8,two_phase,iid,tinyllama_1b,42,post_cleanup_smoke,20260501_072636,1.37814102435112,171.875,85.9375,85.9375,,,,,
exp_two_phase_k8,two_phase,iid,tinyllama_1b,42,run_01_of_18,20260427_210127,1.269227723836899,2578.125,1289.0625,1289.0625,,,,,
exp_two_phase_k8,two_phase,iid,tinyllama_1b,42,run_02_of_12,20260425_045845,1.269227723836899,1289.0625,,,,,,,
exp_two_phase_k8,two_phase,iid,tinyllama_1b,42,smoke_stage0,20260501_131031,1.3032632342974346,343.75,171.875,171.875,,,,,
exp_two_phase_k8,two_phase,iid,tinyllama_1b,42,stage1_bidirectional,20260501_150340,1.269227723836899,1863.125,959.0625,904.0625,,,,,
exp_two_phase_k8,two_phase,iid,tinyllama_1b,42,stage3_checkpoint,20260505_080902,1.269227723836899,1863.125,959.0625,904.0625,,0.256,0.248,0.56,0.42
exp_two_phase_k8,two_phase,iid,tinyllama_1b,456,,20260430_145819,1.2707702880700429,2248.125,959.0625,1289.0625,,,,,
exp_two_phase_k8,two_phase,iid,tinyllama_1b,456,run_03_of_18,20260428_031042,1.2707702880700429,2578.125,1289.0625,1289.0625,,,,,
exp_two_phase_k8,two_phase,iid,tinyllama_1b,456,stage1_bidirectional,20260501_211149,1.2707702880700429,1863.125,959.0625,904.0625,,,,,
exp_two_phase_k8_noniid_alpha05,two_phase,noniid_alpha05,tinyllama_1b,123,run_11_of_18,20260429_040101,1.2807428469484612,2578.125,1289.0625,1289.0625,,,,,
exp_two_phase_k8_noniid_alpha05,two_phase,noniid_alpha05,tinyllama_1b,42,run_10_of_18,20260429_005550,1.2839239563990401,2578.125,1289.0625,1289.0625,,,,,
exp_two_phase_k8_noniid_alpha05,two_phase,noniid_alpha05,tinyllama_1b,456,run_12_of_18,20260429_070735,1.2490057463050466,2578.125,1289.0625,1289.0625,,,,,
